replicate,seed,episode_heterogeneity,temporal_structure,split_method,model,event_prevalence,auroc,status,runtime_seconds
24,66,False,True,row_wise,boosted_trees,0.576797385620915,0.7989543570280113,ok,2.5607368140481412
25,67,False,True,grouped,boosted_trees,0.5107361963190185,0.533800257938189,ok,2.473607920925133
25,67,False,True,row_wise,boosted_trees,0.5107361963190185,0.6964236964236964,ok,2.481230697943829
26,68,False,True,grouped,boosted_trees,0.4260731319554849,0.43116653574234093,ok,2.0668572570430115
26,68,False,True,row_wise,boosted_trees,0.4260731319554849,0.8351077024848059,ok,2.073773787007667
27,69,False,True,grouped,boosted_trees,0.5,0.5715124260355029,ok,1.890136661939323
27,69,False,True,row_wise,boosted_trees,0.5,0.7836497041420118,ok,1.896883376990445
28,70,False,True,grouped,boosted_trees,0.444947209653092,0.5012481577008107,ok,1.7073666179785505
28,70,False,True,row_wise,boosted_trees,0.444947209653092,0.7827192336035372,ok,1.7129848370095715
29,71,False,True,grouped,boosted_trees,0.5279605263157895,0.586624985074951,ok,1.8747561270138249
29,71,False,True,row_wise,boosted_trees,0.5279605263157895,0.803293279928794,ok,1.8814875240204856
0,42,True,False,grouped,boosted_trees,0.3940256045519203,0.42306062609108325,ok,1.7977597890421748
0,42,True,False,row_wise,boosted_trees,0.3940256045519203,0.8335621430145252,ok,1.8034289160277694
1,43,True,False,grouped,boosted_trees,0.43654114365411434,0.5596866795305728,ok,1.9316939159762114
1,43,True,False,row_wise,boosted_trees,0.43654114365411434,0.8089116819030147,ok,1.9381313469493762
2,44,True,False,grouped,boosted_trees,0.605427974947808,0.47805145046524355,ok,1.6114555249223486
2,44,True,False,row_wise,boosted_trees,0.605427974947808,0.7140667761357417,ok,1.6174760289723054
3,45,True,False,grouped,boosted_trees,0.4015267175572519,0.5494199580973075,ok,2.209300872986205
3,45,True,False,row_wise,boosted_trees,0.4015267175572519,0.8008264142158764,ok,2.215221784892492
4,46,True,False,grouped,boosted_trees,0.47030497592295345,0.5447098976109215,ok,1.69885168899782
4,46,True,False,row_wise,boosted_trees,0.47030497592295345,0.7411935050160305,ok,1.7050235560163856
5,47,True,False,grouped,boosted_trees,0.40465793304221254,0.4708096603401875,ok,1.9479409540072083
5,47,True,False,row_wise,boosted_trees,0.40465793304221254,0.7548064238096076,ok,1.9543523651082069
6,48,True,False,grouped,boosted_trees,0.4708249496981891,0.45843488999382537,ok,1.888489666976966
6,48,True,False,row_wise,boosted_trees,0.4708249496981891,0.907689057879172,ok,1.8940429770154878
7,49,True,False,grouped,boosted_trees,0.4991735537190083,0.5784921207352524,ok,1.7423740490339696
7,49,True,False,row_wise,boosted_trees,0.4991735537190083,0.8029746683277599,ok,1.7481817320222035
8,50,True,False,grouped,boosted_trees,0.4015056461731493,0.5688220649895177,ok,1.886183827999048
8,50,True,False,row_wise,boosted_trees,0.4015056461731493,0.7272929769392034,ok,1.8920197539264336
