replicate,seed,episode_fingerprint,shared_event_time,split_method,model,event_prevalence,n_eligible,auroc,status,runtime_seconds
11,53,True,True,row_wise,boosted_trees,0.585480093676815,427,0.8772655367231639,ok,1.7518600419862196
12,54,True,True,grouped,boosted_trees,0.5557851239669421,484,0.5449295409354198,ok,2.2293730629608035
12,54,True,True,row_wise,boosted_trees,0.5557851239669421,484,0.8405809630846374,ok,2.2348929659929127
13,55,True,True,grouped,boosted_trees,0.5495327102803739,535,0.504022355830299,ok,1.7752905460074544
13,55,True,True,row_wise,boosted_trees,0.5495327102803739,535,0.817399158833658,ok,1.7800724710104987
14,56,True,True,grouped,boosted_trees,0.46735905044510384,674,0.48290224167661494,ok,1.7752019260078669
14,56,True,True,row_wise,boosted_trees,0.46735905044510384,674,0.7327850731750452,ok,1.7809250589925796
15,57,True,True,grouped,boosted_trees,0.4843492586490939,607,0.6354024037730108,ok,2.3609083669725806
15,57,True,True,row_wise,boosted_trees,0.4843492586490939,607,0.8534154876007911,ok,2.365297003998421
16,58,True,True,grouped,boosted_trees,0.547576301615799,557,0.6200494405412438,ok,2.037012576009147
16,58,True,True,row_wise,boosted_trees,0.547576301615799,557,0.8270882123341139,ok,2.0432861000299454
17,59,True,True,grouped,boosted_trees,0.5969498910675382,459,0.5812783586506214,ok,1.7073579779826105
17,59,True,True,row_wise,boosted_trees,0.5969498910675382,459,0.8097060564213849,ok,1.7128975059604272
18,60,True,True,grouped,boosted_trees,0.366120218579235,732,0.6608458247555327,ok,1.6647951770573854
18,60,True,True,row_wise,boosted_trees,0.366120218579235,732,0.8777100488934637,ok,1.6695361140882596
19,61,True,True,grouped,boosted_trees,0.5425531914893617,564,0.44550843593251255,ok,1.5505875539965928
19,61,True,True,row_wise,boosted_trees,0.5425531914893617,564,0.7989562750164666,ok,1.5549133899621665
20,62,True,True,grouped,boosted_trees,0.3855932203389831,708,0.6044334975369458,ok,1.7892449020873755
20,62,True,True,row_wise,boosted_trees,0.3855932203389831,708,0.8222306429202979,ok,1.7951560519868508
21,63,True,True,grouped,boosted_trees,0.4883720930232558,516,0.6667718855218855,ok,1.7799759180052206
21,63,True,True,row_wise,boosted_trees,0.4883720930232558,516,0.8875060125060126,ok,1.7851988080656156
22,64,True,True,grouped,boosted_trees,0.45054945054945056,546,0.5831639566395664,ok,1.957504838006571
22,64,True,True,row_wise,boosted_trees,0.45054945054945056,546,0.8535094850948508,ok,1.9656713380245492
23,65,True,True,grouped,boosted_trees,0.5456475583864119,471,0.37275900941852436,ok,1.6564154130173847
23,65,True,True,row_wise,boosted_trees,0.5456475583864119,471,0.8726317320629842,ok,1.662720576976426
24,66,True,True,grouped,boosted_trees,0.5283363802559415,547,0.5942705399533275,ok,1.9665216349530965
24,66,True,True,row_wise,boosted_trees,0.5283363802559415,547,0.8381883533167029,ok,1.9731126659316942
25,67,True,True,grouped,boosted_trees,0.41409691629955947,681,0.5008798592225243,ok,3.6008763620629907
25,67,True,True,row_wise,boosted_trees,0.41409691629955947,681,0.7891270730016532,ok,3.6071675590937957
26,68,True,True,grouped,boosted_trees,0.4188562596599691,647,0.5548107874695768,ok,1.9853359579574317
26,68,True,True,row_wise,boosted_trees,0.4188562596599691,647,0.8265584517547303,ok,1.9911463459720835
27,69,True,True,grouped,boosted_trees,0.44552845528455287,615,0.5881156752359955,ok,1.6397694129263982
27,69,True,True,row_wise,boosted_trees,0.44552845528455287,615,0.7751139842027528,ok,1.6449990569381043
28,70,True,True,grouped,boosted_trees,0.45606060606060606,660,0.5264253787282873,ok,1.7741764419479296
28,70,True,True,row_wise,boosted_trees,0.45606060606060606,660,0.8457139155461368,ok,1.7801251610508189
29,71,True,True,grouped,boosted_trees,0.5845213849287169,491,0.6921500307440049,ok,1.346289612003602
29,71,True,True,row_wise,boosted_trees,0.5845213849287169,491,0.8313349730135956,ok,1.3514379659900442
